DATE,YEAR,MONTH,LOP,TEUS,BOX,DPP,BCH,BSH
2023-10-09 00:00:00,2023,10,SIT,2587.0,1678,3433757566.0,24.5,40.72
2023-10-10 00:00:00,2023,10,CMA,2586.0,1702,3085943297.0,26.5,74.01
2023-10-11 00:00:00,2023,10,OOL,2560.0,1748,2969418431.0,22.5,53.95
2023-10-12 00:00:00,2023,10,ONE,2406.0,1608,2922291225.0,35.3,74.79
2023-10-13 00:00:00,2023,10,YML,2375.0,1648,2800671478.0,23,47.8
2023-10-14 00:00:00,2023,10,GSL,1434.0,999,1673124702.0,32.8,62.31
2023-10-15 00:00:00,2023,10,ANL,593.0,376,768569999.3,24.5,13.79
2023-10-16 00:00:00,2023,10,BEN,218.0,115,192593958.7,25.8,27.78
2023-10-17 00:00:00,2023,10,LMA,144.0,100,171393380.4,18.6,10.22
2023-11-01 00:00:00,2023,11,EMC,19242.0,12584,21180694927.0,31.5,65.5
2023-11-02 00:00:00,2023,11,SSL,18648.0,13383,22451251366.0,32.1,86.21
2023-11-03 00:00:00,2023,11,CNC,17724.0,11493,21068153864.0,31.1,72.79
2023-11-04 00:00:00,2023,11,MSK,14328.0,9061,16596571888.0,31.2,99.5
2023-11-05 00:00:00,2023,11,MSC,11331.0,7372,13401609836.0,26.5,61.64
2023-11-06 00:00:00,2023,11,COS,7021.0,4951,8636566255.0,29.7,82.76
2023-11-07 00:00:00,2023,11,WHL,5642.0,3720,6877552444.0,27.8,59.13
2023-11-08 00:00:00,2023,11,SIT,3322.0,2092,4071064337.0,22.5,38.55
2023-11-09 00:00:00,2023,11,GSL,2768.0,1920,3161698211.0,23.4,52.58
2023-11-10 00:00:00,2023,11,KMT,2670.0,1823,3273058687.0,20.5,36
2023-11-11 00:00:00,2023,11,ONE,2324.0,1507,2707923491.0,27.6,58.74
2023-11-12 00:00:00,2023,11,CMA,1305.0,855,1547112610.0,26.1,52.67
2023-11-13 00:00:00,2023,11,OOL,1253.0,828,1388288780.0,22.7,55.71
2023-11-14 00:00:00,2023,11,YML,990.0,701,1169079148.0,24.9,53.99
2023-11-15 00:00:00,2023,11,ANL,859.0,537,1032618131.0,22.1,16.95
2023-11-16 00:00:00,2023,11,BEN,500.0,342,505065764.9,22.6,29.73
2023-11-17 00:00:00,2023,11,LMA,172.0,99,170607630.8,17.9,21.95
2023-12-01 00:00:00,2023,12,ANL,995.0,609,1143662495.0,81.69,73.62
2023-12-02 00:00:00,2023,12,BEN,243.0,144,232960996.3,46.14,50.8
2023-12-03 00:00:00,2023,12,CMA,2413.0,1557,2933420369.0,104.55,252.95
2023-12-04 00:00:00,2023,12,CNC,25165.0,15802,29339513224.0,239.3,597.7
2023-12-05 00:00:00,2023,12,COS,6858.0,4786,8255122070.0,150.05,386.9
2023-12-06 00:00:00,2023,12,EMC,16068.0,10966,18150452316.0,78.39,164.52
2023-12-07 00:00:00,2023,12,GSL,1295.0,932,1525806586.0,156.1,264.25
2023-12-08 00:00:00,2023,12,KMT,2930.0,2012,3531033587.0,84.52,174.32
2023-12-09 00:00:00,2023,12,LMA,649.0,447,668631830.5,39.48,49.72
2023-12-10 00:00:00,2023,12,MSC,9334.0,6173,10787019934.0,26.67,52.93
2023-12-11 00:00:00,2023,12,MSK,16088.0,10391,18713816623.0,30.67,88.49
2023-12-12 00:00:00,2023,12,NSS,1256.0,785,1412069232.0,88.8,189.08
2023-12-13 00:00:00,2023,12,ONE,2281.0,1493,2664028559.0,160.24,335.12
2023-12-14 00:00:00,2023,12,OOL,1216.0,865,1434476027.0,115.45,266.75
2023-12-15 00:00:00,2023,12,SIT,4507.0,3130,5485845343.0,110.6,202.65
2023-12-16 00:00:00,2023,12,SSL,22956.0,15601,26591864972.0,182.58,470.88
2023-12-17 00:00:00,2023,12,TSL,1381.0,919,1632200838.0,72.64,144.92
2023-12-18 00:00:00,2023,12,WHL,7358.0,4752,8896510338.0,18.18,43.69
2023-12-19 00:00:00,2023,12,YML,2428.0,1697,2819166857.0,101.3,250.05
2024-01-01 00:00:00,2024,1,ANL,583.0,382,695219673.7,24.63,19.36
2024-01-02 00:00:00,2024,1,BEN,259.0,156,266919640.2,23.07,13.86
2024-01-03 00:00:00,2024,1,CMA,1028.0,706,1274719736.0,30.18,65.36
2024-01-04 00:00:00,2024,1,CNC,15899.0,10005,18658135659.0,26.47,60.9
2024-01-05 00:00:00,2024,1,COS,11680.0,7820,13945638752.0,25.44,69.19
2024-01-06 00:00:00,2024,1,EMC,16851.0,11351,19030489944.0,27.04,56.04
2024-01-07 00:00:00,2024,1,GSL,1266.0,914,1464017641.0,29.2,57.63
2024-01-08 00:00:00,2024,1,HPL,518.0,453,633194545.2,58.22,57.34
2024-01-09 00:00:00,2024,1,KMT,3266.0,2241,3772683821.0,23.08,42.11
2024-01-10 00:00:00,2024,1,LMA,181.0,110,186982322.3,21.14,14.88
2024-01-11 00:00:00,2024,1,MSC,11256.0,7437,12901730582.0,26.44,55.42
2024-01-12 00:00:00,2024,1,MSK,15264.0,9709,17765212354.0,30.03,83.51
2024-01-13 00:00:00,2024,1,NSS,1225.0,804,1438033096.0,19.42,41.04
2024-01-14 00:00:00,2024,1,ONE,3528.0,2263,4142403288.0,21.58,47.79
2024-01-15 00:00:00,2024,1,OOL,3977.0,2755,4578242869.0,23.54,55.02
2024-01-16 00:00:00,2024,1,RCL,1626.0,1160,2170117558.0,26.78,40.64
2024-01-17 00:00:00,2024,1,SIT,3910.0,2675,4806424683.0,19.84,37.44
2024-01-18 00:00:00,2024,1,SSL,19520.0,13041,22588661545.0,31.3,71.13
2024-01-19 00:00:00,2024,1,TSL,1224.0,846,1388061065.0,17.6,36.75
2024-01-20 00:00:00,2024,1,WHL,5590.0,3638,6701249874.0,25.43,51.9
2024-01-21 00:00:00,2024,1,YML,1159.0,823,1335115412.0,18.86,47.99
2024-02-01 00:00:00,2024,2,ANL,472.0,272,523826412.4,26.62,21.31
2024-02-02 00:00:00,2024,2,BEN,94.0,52,97573335.48,18.55,7.05
2024-02-03 00:00:00,2024,2,CMA,1869.0,1276,2242797718.0,20.58,39.72
2024-02-04 00:00:00,2024,2,CNC,19991.0,12619,23451527049.0,30.07,69.33
2024-02-05 00:00:00,2024,2,COS,6712.0,4413,7763861822.0,24.57,71.48
2024-02-06 00:00:00,2024,2,EMC,16959.0,11515,19093485659.0,22.3,45.15
2024-02-07 00:00:00,2024,2,GSL,2770.0,2051,3320924445.0,25.24,45.38
2024-02-08 00:00:00,2024,2,KMT,3261.0,2241,4001052542.0,22.45,37.98
2024-02-09 00:00:00,2024,2,LMA,247.0,143,255171107.7,16.45,12.93
2024-02-10 00:00:00,2024,2,MSC,9845.0,6657,11822149669.0,22.41,49.47
2024-02-11 00:00:00,2024,2,MSK,15080.0,9293,17828639578.0,27.52,70.22
2024-02-12 00:00:00,2024,2,NSS,994.0,673,1224139797.0,16.91,36.75
2024-02-13 00:00:00,2024,2,ONE,2043.0,1351,2455527543.0,21.23,38.46
2024-02-14 00:00:00,2024,2,OOL,3364.0,2318,3943728050.0,30.71,74.94
2024-02-15 00:00:00,2024,2,RCL,1345.0,1009,1743808137.0,17.17,26.18
2024-02-16 00:00:00,2024,2,SIT,3419.0,2336,4460782970.0,22.66,33.63
2024-02-17 00:00:00,2024,2,SSL,20015.0,13515,23632615842.0,28.46,64.87
2024-02-18 00:00:00,2024,2,TSL,1034.0,710,1217233750.0,17.5,38.83
2024-02-19 00:00:00,2024,2,WHL,5532.0,3644,6576594733.0,21.46,50.13
2024-02-20 00:00:00,2024,2,YML,587.0,429,683846290.4,24.43,55.41
