DATE,YEAR,MONTH,LOP,TEUS,BOX,DPP,BCH,BSH,AVERAGE CD,TEUS 2023,BOX 2023,DPP 2023,BCH 2023,BSH 2023,AVERAGE CD 2023
2023-05-14 00:00:00,2023,5,ONE,865.0,597,1000844582,26.2,52.22,3,8210.0,5618.0,9123564145,28.0,58.0,3.0
2023-05-15 00:00:00,2023,5,BEN,364.0,206,310186666.8,27.9,22.7,2,6034.0,4140.0,7026661236,27.0,49.0,2.0
2023-05-16 00:00:00,2023,5,ANL,286.0,198,332590120.8,19.3,19.2,3,2111.0,1337.0,2556907465,21.0,15.0,3.0
2023-05-17 00:00:00,2023,5,LMA,64.0,33,53517200.93,12.5,6.81,0,391.0,303.0,373004081,19.0,19.0,0.0
2023-06-01 00:00:00,2023,6,CNC,17793.0,11184,19267863102,27.4,69.19,10,118925.0,77396.0,130870153303,30.0,62.0,10.0
2023-06-02 00:00:00,2023,6,MSK,17102.0,10607,18403999716,32.3,87.38,9,90177.0,59715.0,97361205953,30.0,54.0,9.0
2023-06-03 00:00:00,2023,6,EMC,16118.0,10606,16902625014,26.8,57.8,3,82.015,49930.0,90896028153,33.0,82.0,3.0
2023-06-04 00:00:00,2023,6,SSL,13187.0,8372,14253981227,29.9,82.23,3,85398.0,53407.0,94733303540,31.0,78.0,3.0
2023-06-05 00:00:00,2023,6,COS,11902.0,8103,13570103248,26.5,71.27,8,65856.0,46111.0,76060723982,30.0,59.0,8.0
2023-06-06 00:00:00,2023,6,MSC,10768.0,7549,11839933223,31.8,84.13,5,64974.0,44033.0,74344873433,31.0,70.0,5.0
2023-06-07 00:00:00,2023,6,WHL,4850.0,3255,5634556847,27.3,60.79,7,42671.0,27621.0,48333629815,27.0,50.0,7.0
2023-06-08 00:00:00,2023,6,KMT,3826.0,2649,4407528812,20.2,45.17,2,16646.0,11651.0,20387229147,23.0,31.0,2.0
2023-06-09 00:00:00,2023,6,SIT,2672.0,1745,3082182822,27.7,41.85,0,12780.0,8939.0,14580944558,23.0,44.0,0.0
2023-06-10 00:00:00,2023,6,OOL,2513.0,1734,2782051095,21.2,48.24,2,14022.0,9832.0,16506778477,25.0,42.0,2.0
2023-06-11 00:00:00,2023,6,ONE,2477.0,1705,2875268489,36.5,67.76,2,10615.0,7168.0,"Rp 11,452,777,869",25.0,51.0,2.0
2023-06-12 00:00:00,2023,6,CMA,2306.0,1513,2475320743,21.9,51.23,2,10236.0,7249.0,"Rp 11,248,304,961",34.0,59.0,2.0
2023-06-13 00:00:00,2023,6,GSL,1409.0,973,1521471111,28.3,60.64,0,8382.0,5847.0,"Rp 9,771,781,402",30.0,44.0,0.0
2023-06-14 00:00:00,2023,6,YML,1176.0,767,1254782978,24.5,53.27,2,10723.0,7352.0,"Rp 11,819,763,544",26.0,56.0,2.0
2023-06-15 00:00:00,2023,6,LMA,682.0,505,669139708.2,20.9,21.55,2,8511.0,5845.0,"Rp 9,901,929,726",29.0,52.0,2.0
2023-06-16 00:00:00,2023,6,ANL,492.0,309,536995672,20.2,22.91,2,2603.0,1646.0,"Rp3,093,903,137",21.0,17.0,2.0
2023-06-17 00:00:00,2023,6,BEN,166.0,117,161172626.7,36.8,21.33,0,1073.0,808.0,"Rp 1,042,143,789",20.0,20.0,0.0
2023-07-01 00:00:00,2023,7,CNC,32032.0,20344,34950935638,31.7,73.19,10,152227.0,98621.0,167306875089,29.0,61.0,10.0
2023-07-02 00:00:00,2023,7,MSK,19631.0,12226,21836793254,30.5,81.35,9,108472.0,72004.0,116641804089,29.0,54.0,9.0
2023-07-03 00:00:00,2023,7,EMC,18295.0,12289,19280598136,28.6,61.13,3,105029.0,65633.0,116570096794,31.0,73.0,3.0
2023-07-04 00:00:00,2023,7,COS,13119.0,9070,15543782692,22.9,54.62,3,94659.0,58155.0,104801005933,32.0,79.0,3.0
2023-07-05 00:00:00,2023,7,MSC,12655.0,8673,14569010215,27.4,53.89,5,78511.0,54784.0,90629734196,29.0,58.0,5.0
2023-07-06 00:00:00,2023,7,SSL,12644.0,8225,13904977780,30.3,79.15,4,78093.0,53103.0,89888656125,31.0,69.0,4.0
2023-07-07 00:00:00,2023,7,WHL,8153.0,5478,9624091266,31.6,65.96,5,50824.0,33099.0,57957721080,26.0,49.0,5.0
2023-07-08 00:00:00,2023,7,KMT,3706.0,2611,4424089324,18,39.04,2,19749.0,13854.0,24246581470,24.0,34.0,2.0
2023-07-09 00:00:00,2023,7,SIT,3103.0,2203,3859352323,21.9,34.97,2,17728.0,12443.0,20930867801,25.0,45.0,2.0
2023-07-10 00:00:00,2023,7,ONE,1288.0,830,1465193430,33.8,62.06,0,12780.0,8939.0,14580944558,23.0,44.0,0.0
2023-07-11 00:00:00,2023,7,CMA,1270.0,881,1485786148,33.2,73.2,2,11971.0,8197.0,13201759660,27.0,57.0,2.0
2023-07-12 00:00:00,2023,7,OOL,1248.0,845,1381996116,17.4,39.71,2,11803.0,7985.0,12766925076,26.0,50.0,2.0
2023-07-13 00:00:00,2023,7,YML,1188.0,817,1314147207,32.9,67.17,2,11319.0,8020.0,12471444569,33.0,58.0,2.0
2023-07-14 00:00:00,2023,7,GSL,1083.0,771,1223139608,25.1,56.33,2,9799.0,6675.0,11367123156,29.0,54.0,2.0
2023-07-15 00:00:00,2023,7,BEN,575.0,383,528167979.8,20.4,25.95,0,8382.0,5847.0,9771781402,30.0,44.0,0.0
2023-07-16 00:00:00,2023,7,ANL,253.0,194,309932136.5,38.2,11.25,2,2856.0,1840.0,3403835274,22.0,18.0,2.0
2023-07-17 00:00:00,2023,7,LMA,137.0,83,133864406.9,21.5,16.98,4,1210.0,891.0,1176008196,21.0,29.0,4.0
2023-08-01 00:00:00,2023,8,CNC,22137.0,14294,24913905374,29.9,77.31,11,176717.0,114547.0,194977908747,30.0,63.0,11.0
