tanggal,year,month,lop,teus,persentase,sumber_sheet
2022-07-23 00:00:00,2022,7,KRL,510,-6.285714285714286,SL INT
2022-07-24 00:00:00,2022,7,KSL,778,0.0,SL INT
2022-08-01 00:00:00,2022,8,CMA,117329,0.1328169461710729,SL INT
2022-08-02 00:00:00,2022,8,EMC,109168,0.1268376177755027,SL INT
2022-08-03 00:00:00,2022,8,MSK,118877,-0.0293093893949364,SL INT
2022-08-04 00:00:00,2022,8,MSC,81279,0.1277392629477796,SL INT
2022-08-05 00:00:00,2022,8,ONE,80591,0.0714894695608092,SL INT
2022-08-06 00:00:00,2022,8,WHL,43163,0.2720511350220932,SL INT
2022-08-07 00:00:00,2022,8,COSCO,89952,-0.6425388941640494,SL INT
2022-08-08 00:00:00,2022,8,OOCL,37879,0.1136097720784387,SL INT
2022-08-09 00:00:00,2022,8,RCL,17567,0.3568264196536448,SL INT
2022-08-10 00:00:00,2022,8,HAPAG,17257,0.2913809386933848,SL INT
2022-08-11 00:00:00,2022,8,SITC,26112,-0.0428531490874236,SL INT
2022-08-12 00:00:00,2022,8,KMTC,17448,0.1242282788736636,SL INT
2022-08-13 00:00:00,2022,8,YML,19454,0.0389289595889734,SL INT
2022-08-14 00:00:00,2022,8,GSL,9467,0.3301018964053213,SL INT
2022-08-15 00:00:00,2022,8,OTHERS,21627,-0.4809970553995754,SL INT
2022-08-16 00:00:00,2022,8,SSL,12620,-0.2290611608881963,SL INT
2022-08-17 00:00:00,2022,8,PIL,15468,-0.7234540389972145,SL INT
2022-08-18 00:00:00,2022,8,ANL,7314,-0.1666932525123624,SL INT
2022-08-19 00:00:00,2022,8,HMM,10073,-1.110412738319715,SL INT
2022-08-20 00:00:00,2022,8,XCL,7734,-2.070265978562922,SL INT
2022-08-21 00:00:00,2022,8,MELL,743,0.5593119810201661,SL INT
2022-08-22 00:00:00,2022,8,BEN,0,1.0,SL INT
2022-08-23 00:00:00,2022,8,KRL,803,-10.471428571428572,SL INT
2022-08-24 00:00:00,2022,8,KSL,0,0.0,SL INT
2022-09-01 00:00:00,2022,9,CMA,133054,0.1243336448475116,SL INT
2022-09-02 00:00:00,2022,9,EMC,119331,0.1539688616641143,SL INT
2022-09-03 00:00:00,2022,9,MSK,131509,0.0120424905342869,SL INT
2022-09-04 00:00:00,2022,9,MSC,88856,0.1968327427868971,SL INT
2022-09-05 00:00:00,2022,9,ONE,91264,0.0787090782447179,SL INT
2022-09-06 00:00:00,2022,9,WHL,48737,0.2674872997264556,SL INT
2022-09-07 00:00:00,2022,9,COSCO,97974,-0.6170795715252447,SL INT
2022-09-08 00:00:00,2022,9,OOCL,43534,0.0768088896428874,SL INT
2022-09-09 00:00:00,2022,9,RCL,20890,0.3176101656159148,SL INT
2022-09-10 00:00:00,2022,9,HAPAG,19522,0.3038547944228506,SL INT
2022-09-11 00:00:00,2022,9,SITC,29046,-0.0096635150166852,SL INT
2022-09-12 00:00:00,2022,9,KMTC,19630,0.130184331797235,SL INT
2022-09-13 00:00:00,2022,9,YML,22124,-0.0044948921679909,SL INT
2022-09-14 00:00:00,2022,9,GSL,11034,0.3073011488480131,SL INT
2022-09-15 00:00:00,2022,9,OTHERS,24635,-0.6216838917780264,SL INT
2022-09-16 00:00:00,2022,9,SSL,13275,-0.1426235152349802,SL INT
2022-09-17 00:00:00,2022,9,PIL,17045,-0.6119727633818801,SL INT
2022-09-18 00:00:00,2022,9,ANL,8410,-0.1719620958751393,SL INT
2022-09-19 00:00:00,2022,9,HMM,10933,-1.0238800444279896,SL INT
2022-09-20 00:00:00,2022,9,XCL,8211,-1.665909090909091,SL INT
2022-09-21 00:00:00,2022,9,MELL,804,0.58125,SL INT
2022-09-22 00:00:00,2022,9,BEN,0,1.0,SL INT
2022-09-23 00:00:00,2022,9,KRL,803,-10.471428571428572,SL INT
2022-09-24 00:00:00,2022,9,KSL,0,0.0,SL INT
2022-10-01 00:00:00,2022,10,CMA,158915,0.0581921841478303,SL INT
2022-10-02 00:00:00,2022,10,EMC,134265,0.1506784324888509,SL INT
2022-10-03 00:00:00,2022,10,MSK,148638,0.0362762832856781,SL INT
2022-10-04 00:00:00,2022,10,MSC,97534,0.2123492881312132,SL INT
2022-10-05 00:00:00,2022,10,ONE,103014,0.0804702353854805,SL INT
2022-10-06 00:00:00,2022,10,WHL,54822,0.2606309088702173,SL INT
2022-10-07 00:00:00,2022,10,COSCO,106522,-0.5516000757432304,SL INT
2022-10-08 00:00:00,2022,10,OOCL,49713,0.0508438979685352,SL INT
2022-10-09 00:00:00,2022,10,RCL,24778,0.2729246750198069,SL INT
