tanggal,year,month,lop,teus,sumber_sheet
2024-01-02 00:00:00,2024,1,SALAM PACIFIC LINE,5559,SL DOM
2024-01-03 00:00:00,2024,1,MERATUS,191,SL DOM
2024-01-04 00:00:00,2024,1,TEMAS,1807,SL DOM
2024-01-05 00:00:00,2024,1,ICON LINE,0,SL DOM
2024-02-01 00:00:00,2024,2,TANTO INTIM LINE,8389,SL DOM
2024-02-02 00:00:00,2024,2,SALAM PACIFIC LINE,9159,SL DOM
2024-02-03 00:00:00,2024,2,MERATUS,191,SL DOM
2024-02-04 00:00:00,2024,2,TEMAS,0,SL DOM
2024-02-05 00:00:00,2024,2,ICON LINE,0,SL DOM
03/2024,2024,3,TANTO,13983,SL DOM
03/2024,2024,3,SPI,11542,SL DOM
03/2024,2024,3,ICN,399,SL DOM
03/2024,2024,3,MERATUS,191,SL DOM
03/2024,2024,3,TEMPURAN EMAS,0,SL DOM
